Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,1/1/2022,1/5/2022,Kiran,Consumer,North,1001,Furniture,Storage,Product-1001,671.42,2,0.18,65.71
2,1/2/2022,1/7/2022,Prakash,Consumer,North,1002,Technology,Phones,Product-1002,849.27,2,0.47,110.64
3,1/3/2022,1/6/2022,Saranya,Corporate,North,1003,Office Supplies,Binders,Product-1003,1286.45,9,0.4,41.4
4,1/4/2022,1/9/2022,Meena,Home Office,South,1004,Technology,Accessories,Product-1004,97.02,8,0.22,12.25
5,1/5/2022,1/10/2022,Ravi,Corporate,East,1005,Technology,Accessories,Product-1005,1800.64,1,0.25,258.62
6,1/6/2022,1/8/2022,Nithya,Consumer,South,1006,Furniture,Accessories,Product-1006,1062.91,4,0.13,35.98
7,1/7/2022,1/10/2022,Ravi,Consumer,North,1007,Technology,Tables,Product-1007,960.28,1,0.35,34.06
8,1/8/2022,1/11/2022,Prakash,Home Office,South,1008,Technology,Chairs,Product-1008,1728.42,1,0.4,123.31
9,1/9/2022,1/12/2022,Ravi,Corporate,West,1009,Office Supplies,Phones,Product-1009,1908.5,4,0.12,77.36
10,1/10/2022,1/15/2022,Prakash,Home Office,East,1010,Furniture,Storage,Product-1010,875.68,2,0.02,76.63
11,1/11/2022,1/15/2022,Nithya,Corporate,South,1011,Furniture,Accessories,Product-1011,386.26,3,0.31,45.36
12,1/12/2022,1/15/2022,Kiran,Consumer,West,1012,Office Supplies,Phones,Product-1012,1640.63,9,0.28,160.83
13,1/13/2022,1/19/2022,Meena,Home Office,East,1013,Technology,Accessories,Product-1013,836.36,2,0.2,44.81
14,1/14/2022,1/19/2022,Divya,Home Office,West,1014,Furniture,Accessories,Product-1014,1874.31,4,0.32,203.51
15,1/15/2022,1/17/2022,Saranya,Consumer,East,1015,Furniture,Storage,Product-1015,1902.3,1,0.28,213.4
16,1/16/2022,1/20/2022,Divya,Home Office,South,1016,Technology,Binders,Product-1016,273.92,2,0.13,38.87
17,1/17/2022,1/23/2022,Kiran,Corporate,West,1017,Technology,Binders,Product-1017,1915.28,5,0.2,91.2
18,1/18/2022,1/24/2022,Saranya,Corporate,North,1018,Furniture,Binders,Product-1018,768.13,1,0.21,86.86
19,1/19/2022,1/21/2022,Ravi,Corporate,West,1019,Technology,Tables,Product-1019,1310.19,7,0.44,182.6
20,1/20/2022,1/24/2022,Nithya,Corporate,East,1020,Furniture,Chairs,Product-1020,117.76,4,0.48,10.62
21,1/21/2022,1/26/2022,Nithya,Consumer,South,1021,Technology,Tables,Product-1021,1783.32,6,0.45,130.92
22,1/22/2022,1/23/2022,Arun,Home Office,East,1022,Technology,Phones,Product-1022,1301.11,8,0.36,65.69
23,1/23/2022,1/27/2022,Kiran,Corporate,West,1023,Office Supplies,Tables,Product-1023,1304.93,6,0.29,174.88
24,1/24/2022,1/26/2022,Kiran,Consumer,West,1024,Technology,Phones,Product-1024,1809.24,2,0.34,139.87
25,1/25/2022,1/31/2022,Meena,Home Office,North,1025,Office Supplies,Phones,Product-1025,1041.28,1,0.47,146.81
26,1/26/2022,1/31/2022,Divya,Home Office,South,1026,Technology,Chairs,Product-1026,850.51,8,0.12,112.04
27,1/27/2022,1/31/2022,Kiran,Consumer,South,1027,Furniture,Storage,Product-1027,1738.95,8,0.27,130.76
28,1/28/2022,1/29/2022,Kiran,Consumer,West,1028,Furniture,Chairs,Product-1028,1497.72,9,0.34,148.08
29,1/29/2022,1/30/2022,Ravi,Corporate,South,1029,Technology,Binders,Product-1029,1900.5,6,0.34,63.21
30,1/30/2022,2/2/2022,Ravi,Home Office,North,1030,Technology,Binders,Product-1030,1883.24,1,0.13,115.98
31,1/31/2022,2/3/2022,Saranya,Home Office,East,1031,Furniture,Tables,Product-1031,795.54,9,0.29,91.67
